timestamp,bitcoin-above-72k-on-february-13__Yes
2026-02-10 12:00:00+00:00,0.185
2026-02-10 13:00:00+00:00,0.195
2026-02-10 14:00:00+00:00,0.225
2026-02-10 15:00:00+00:00,0.19
2026-02-10 16:00:00+00:00,0.225
2026-02-10 17:00:00+00:00,0.235
2026-02-10 18:00:00+00:00,0.275
2026-02-10 19:00:00+00:00,0.19
2026-02-10 20:00:00+00:00,0.19
2026-02-10 21:00:00+00:00,0.17
2026-02-10 22:00:00+00:00,0.16
2026-02-10 23:00:00+00:00,0.16
2026-02-11 00:00:00+00:00,0.18
2026-02-11 01:00:00+00:00,0.195
2026-02-11 02:00:00+00:00,0.185
2026-02-11 03:00:00+00:00,0.155
2026-02-11 04:00:00+00:00,0.125
2026-02-11 05:00:00+00:00,0.09
2026-02-11 06:00:00+00:00,0.09
2026-02-11 07:00:00+00:00,0.07
2026-02-11 08:00:00+00:00,0.07
2026-02-11 09:00:00+00:00,0.07
2026-02-11 10:00:00+00:00,0.06
2026-02-11 11:00:00+00:00,0.05
2026-02-11 12:00:00+00:00,0.06
2026-02-11 13:00:00+00:00,0.07
2026-02-11 14:00:00+00:00,0.07
2026-02-11 15:00:00+00:00,0.035
2026-02-11 16:00:00+00:00,0.0255
2026-02-11 17:00:00+00:00,0.0225
2026-02-11 18:00:00+00:00,0.036
2026-02-11 19:00:00+00:00,0.0465
2026-02-11 20:00:00+00:00,0.0525
2026-02-11 21:00:00+00:00,0.046
2026-02-11 22:00:00+00:00,0.0715
2026-02-11 23:00:00+00:00,0.0485
2026-02-12 00:00:00+00:00,0.04
2026-02-12 01:00:00+00:00,0.0445
2026-02-12 02:00:00+00:00,0.045
2026-02-12 03:00:00+00:00,0.041
2026-02-12 04:00:00+00:00,0.042
2026-02-12 05:00:00+00:00,0.031
2026-02-12 06:00:00+00:00,0.0245
2026-02-12 07:00:00+00:00,0.0285
2026-02-12 08:00:00+00:00,0.0335
2026-02-12 09:00:00+00:00,0.0195
2026-02-12 10:00:00+00:00,0.027
2026-02-12 11:00:00+00:00,0.0365
2026-02-12 12:00:00+00:00,0.0405
2026-02-12 13:00:00+00:00,0.03
2026-02-12 14:00:00+00:00,0.036
2026-02-12 15:00:00+00:00,0.026
2026-02-12 16:00:00+00:00,0.0145
2026-02-12 17:00:00+00:00,0.012
2026-02-12 18:00:00+00:00,0.007
2026-02-12 19:00:00+00:00,0.0075
2026-02-12 20:00:00+00:00,0.004
2026-02-12 21:00:00+00:00,0.0055
2026-02-12 22:00:00+00:00,0.0045
2026-02-12 23:00:00+00:00,0.0045
2026-02-13 00:00:00+00:00,0.0015
2026-02-13 01:00:00+00:00,0.0025
2026-02-13 02:00:00+00:00,0.0015
2026-02-13 03:00:00+00:00,0.0015
2026-02-13 04:00:00+00:00,0.0015
2026-02-13 05:00:00+00:00,0.002
2026-02-13 06:00:00+00:00,0.0015
2026-02-13 07:00:00+00:00,0.0015
2026-02-13 08:00:00+00:00,0.0015
2026-02-13 09:00:00+00:00,0.0015
2026-02-13 10:00:00+00:00,0.0015
2026-02-13 11:00:00+00:00,0.0025
2026-02-13 12:00:00+00:00,0.0025
2026-02-13 13:00:00+00:00,0.002
2026-02-13 14:00:00+00:00,0.0025
2026-02-13 15:00:00+00:00,0.0025
2026-02-13 16:00:00+00:00,0.0025
2026-02-13 17:00:00+00:00,0.0005
2026-02-13 18:00:00+00:00,0.0005
2026-02-13 19:00:00+00:00,0.0005
